"verizon","Verizon Wireless","@VerizonWireless"
"SURFnet, The Netherlands","SURFnet, The Netherlands"
"TELUS Communications Inc.","Telus Mobility"
"Orange Personal Communications Services","T-Mobile (UK) Limited"
"E-Plus Mobilfunk GmbH & Co. KG","E-Plus Mobilfunk GmbH & Co. KG"
"Mobistar SA","Apn - Iphone"
"Hi3G Access AB","Hi3G Access AB"
"TIM (Telecom Italia Mobile) Autonomous System","Telecom Italia Mobile"
"TeliaSonera Finland Oyj","TeliaSonera Finland Oyj"
"Jasper Technologies, Inc.","Jasper Technologies"
"KPN Internet Solutions","KPN Mobile"
"TeliaSonera Norge AS","NetCom GSM as"
"Telenor Bulgaria EAD","Telenor Bulgaria - PublicGPRS services"
"TDC A/S","Tele Danmark"
"Vip mobile d.o.o.","Vip mobile d.o.o."
"Two Degrees Mobile Limited","2degrees Mobile Limited"
"RCS & RDS SA","RCS & RDS Mobile"
"TELECITYGROUP INTERNATIONAL LIMITED","Telecitygroup International Limited"
"Elisa Oyj","Elisa Oyj Mobile"
"013 NetVision Ltd.","013 NetVision"
"Telenor Norge AS","Telenor Norge AS"
"VODACOM-ZA","Vodacom"
"BELGACOM S.A.","Proximus Mobile Internet"
"Ntelos Inc.","nTelos Commuications"
"Elisa Oyj","Elisa Oyj"
"Tele2 Sverige AB","Tele2 Mobile"
"Hutchison 3G Ireland Limited","Three Ireland"
"Interoute Communications Limited","Interoute Communications Limited"
"Entel PCS Telecomunicaciones S.A.","Entel PCS Telecomunicaciones S.A."
"ONE Telecommunications Services DOOEL Skopje","ONE Packet Mobile, 3G NAT"
"Voxel Dot Net, Inc.","Voxel Dot Net"
"Telekom Austria AG","A1 Mobile"
"Microplex PTY LTD","Optus"
"Orange Communication SA","Orange Communications SA"
"Hutchison Drei Austria GmbH","Hutchison Drei Austria GmbH"
"Rogers Cable Communications Inc.","Rogers Cable"
"Sunrise Communications AG","Sunrise Mobile"
"Cosmote Mobile Telecommunications S.A.","Cosmote Mobile Telecommunications S.A."
"MOBILTEL EAD","Mobiltel Ead"
"Mobile Interim Company No.2 SAL","touch Lebanon"
"Telecom Argentina S.A.","Telecom Personal"
"Administracion Nacional de Telecomunicaciones","ANCEL"
"WIND Telecomunicazioni S.p.A.","Wind Telecomunicazioni"
"Hutchison CP Telecommunications, PT","Three Indonesia"
"MOBILTEL EAD","Megalan Network"
"SAFARICOM-LIMITED","Safaricom Limited"
"Hutchison Drei Austria GmbH","Dial IN Pool II APN drei.at"
"TURKCELL ILETISIM HIZMETLERI A.S.","Turkcell"
"Telenor Hungary plc","Telenor Hungary"
"S.A.","Claro Colombia"
"DiGi Telecommunications Sdn. Bhd.","DiGi Telecommunications Sdn. Bhd."
"P4 Sp. z o.o.","Play"
"Partner Communications Ltd.","Orange Israel"
"Saskatchewan Telecommunications","SaskTel"
"CKL1-ASN","Airtel Broadband"
"Realmove Company Limited","Realmove Company Limited"
"H3G S.p.A.","H3G Italy"
"Advance Wireless Network","Advance Wireless Network"
"PCCW IMSBiz","PCCW IMSBiz"
"MTS Allstream Inc.","MTS Allstream"
"Allstream Corp.","MTS Allstream"
"Softbank BB Corp.","Softbank BB Corp"
"LG Telecom","LG Telecom"
"Otecel S.A.","Otecel S.A."
"TelstraClear Ltd","Vodafone New Zealand Broadband"
"Mobitel (Sudanese Mobile Telephone Co Ltd aka ZAIN)","Mobitel (Sudanese Mobile Telephone Co Ltd aka ZAIN"
"GO p.l.c.","GO p.l.c."
"SK Telecom","SK Telecom"
"CELL-C","Cell C (Pty) Ltd"
"Corporacion Digitel C.A.","DIGITEL - Servicios Emergentes"
"INDOSAT Internet Network Provider","PT Indosat Tbk."
"MobileOne Ltd. Mobile/Internet Service Provider Singapore","MobileOne"
"MOBINIL","Mobinil 3G"
"Orange S.A.","Orange France Wireless"
"JAMBONET","Orange Cellular Kenya"
